frame_idx,x,y
1371,861,332
1372,861,329
1373,856,327
1374,856,326
1375,854,325
1376,852,325
1377,710,319
1378,656,469
1379,661,516
1380,486,525
1381,459,558
1382,461,569
1383,461,571
1384,462,570
1385,462,565
1386,465,568
1387,466,572
1388,401,577
1389,413,580
1390,421,586
1391,422,587
1392,422,588
1393,460,591
1394,448,584
1395,594,592
1396,443,583
1397,439,583
1398,699,582
1399,772,494
1400,444,577
1401,448,585
1402,449,586
1403,449,586
1404,449,585
1405,696,640
1406,726,706
1407,752,775
1408,750,772
1409,751,744
1410,751,744
1411,756,753
1412,756,753
1413,747,752
1414,758,500
1415,759,493
1416,760,490
1417,761,488
1418,620,482
1419,613,479
1420,617,478
1421,620,478
1422,416,533
1423,388,598
1424,387,614
1425,388,610
1426,541,553
1427,690,377
1428,695,350
1429,698,341
1430,665,293
1431,664,286
1432,663,304
1433,665,288
1434,667,283
1435,667,283
1436,713,423
1437,711,421
1438,710,420
1439,708,420
1440,705,415
1441,479,558
1442,467,577
1443,461,577
1444,378,586
1445,363,595
1446,362,596
1447,362,600
1448,363,604
1449,364,605
1450,365,606
1451,643,546
1452,646,502
1453,646,498
1454,453,531
1455,410,611
1456,405,606
1457,407,606
1458,416,609
1459,420,613
1460,653,608
1461,712,528
1462,714,516
1463,729,361
1464,726,338
1465,723,338
1466,722,338
1467,680,359
1468,635,365
1469,389,625
1470,390,624
1471,384,600
1472,382,601
1473,380,603
1474,381,604
1475,381,604
1476,381,605
1477,371,606
1478,364,606
1479,350,605
1480,348,604
1481,345,599
1482,561,534
1483,650,516
1484,656,493
1485,431,574
1486,432,610
1487,432,615
1488,432,620
1489,395,615
1490,393,611
1491,372,604
1492,675,570
1493,666,523
1494,672,507
1495,675,501
1496,676,494
1497,651,522
1498,835,766
1499,829,727
1500,824,720
1501,870,731
1502,871,755
1503,868,759
1504,863,761
1505,782,765
1506,759,767
1507,759,763
1508,759,762
1509,757,758
1510,582,770
1511,568,801
1512,800,802
1513,872,790
1514,868,770
1515,867,751
1516,867,745
1517,894,740
1518,893,738
1519,891,739
1520,897,733
1521,900,731
1522,899,730
1523,857,738
1524,854,738
1525,851,732
1526,850,733
1527,850,737
1528,852,737
